Customer ID;Connection Fee and Service Charge (EUR);Total Margin (EUR);Revenue (EUR);Discount (EUR);Direct Cost (EUR);Number of Subscriptions;Number of Billing Accounts
12929179;14.700933333333332;-316.7057999999999;41.306133333333335;-30.66193333333333;-327.34999999999985;1;1
17355;14.70093333333333;-317.8262;49.42633333333333;-39.90253333333333;-327.3499999999999;1;1
18456388;14.700933333333332;-313.90459999999996;48.30763333333333;-34.862233333333336;-327.3499999999999;1;1
22214521;14.70093333333333;-318.38640000000004;37.10543333333333;-28.14183333333333;-327.34999999999997;1;1
23978950;14.700933333333332;-315.0251;45.507033333333325;-33.182133333333326;-327.34999999999997;1;1
26406785;14.70093333333333;-318.3864;37.10543333333333;-28.14183333333333;-327.35;1;1
27683972;14.70093333333333;-314.23938374836644;243.1942333333333;-14.70093333333333;-542.7326837483664;1;1
31874498;14.700933333333332;-313.90459999999985;48.30763333333334;-34.862233333333336;-327.3499999999999;1;1
3550130;14.700933333333332;-319.80499287602004;635.9247333333335;-497.08153333333354;-458.6481928760196;2;1
42008447;14.70093333333333;-313.90459999999996;48.30763333333333;-34.86223333333333;-327.35;1;1
42965620;14.70093333333333;-317.266;39.90593333333333;-29.82193333333333;-327.34999999999997;1;1
58187099;14.70093333333333;-315.02509999999995;45.507033333333325;-33.182133333333326;-327.35;1;1
58272896;14.700933333333332;-313.9045999999999;48.30763333333333;-34.86223333333333;-327.34999999999997;1;1
58513058;14.700933333333332;-313.4597833333336;322.45823333333334;-14.700933333333332;-621.2170833333334;2;2
58907811;14.70093333333333;-312.0400112489531;182.18023333333332;-14.70093333333333;-479.5193112489532;1;1
59478000;14.700933333333332;-313.34439999999995;49.70783333333333;-35.70223333333333;-327.35;1;1
60498836;14.70093333333333;-316.14549999999997;42.706533333333326;-31.50203333333333;-327.35;1;1
61163654;14.700933333333332;-317.8626;49.38993333333333;-39.902533333333324;-327.34999999999997;1;1
61588749;14.70093333333333;-316.77022033333316;155.63873333333336;-14.70093333333333;-457.7080203333332;1;1
65473283;14.700933333333332;-313.90459999999996;48.30763333333333;-34.862233333333336;-327.35;1;1
65527920;14.700933333333332;-314.4648999999999;46.90723333333333;-34.02213333333333;-327.34999999999997;1;1
65936213;14.700933333333332;-318.9466999999999;48.305833333333325;-39.902533333333324;-327.3499999999999;1;1
68329390;14.700933333333332;-318.38640000000004;37.10543333333333;-28.14183333333333;-327.34999999999997;1;1
68799451;14.700933333333332;-312.27320000000003;37.90723333333333;-22.830433333333332;-327.34999999999997;1;1
68938378;14.70093333333333;-316.7058;41.30613333333333;-30.66193333333333;-327.3500000000001;1;1
69091080;14.70093333333333;-315.9667456666662;279.34656666666655;-136.58233333333337;-458.73097899999954;2;1
70128920;14.700933333333332;-317.5944173333331;155.6387333333333;-14.700933333333332;-458.5322173333332;1;1
71085383;14.700933333333332;-315.02509999999984;45.507033333333325;-33.182133333333326;-327.3499999999999;1;1
71395303;14.700933333333332;-313.90459999999996;48.30763333333333;-34.862233333333336;-327.3499999999999;1;1
71822529;14.70093333333333;-315.5853;44.106733333333324;-32.342033333333326;-327.34999999999997;1;1
71855212;14.70093333333333;-315.58529999999996;44.106733333333324;-32.342033333333326;-327.3499999999999;1;1
